0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	
1	28	30	22	20	23	28	28	22	33	20	21	26	31	27	24	32	31	26	19	19	26	12	23	35	23	17	25	23	31	27	27	28	23	20	24	23	20	19	33	31	24	26	27	23	22	
2	29	33	33	31	29	33	34	31	33	28	33	27	33	28	34	28	27	29	33	29	32	31	34	31	21	19	33	33	32	33	36	28	26	26	34	38	20	29	31	29	25	32	40	29	31	
3	27	36	18	30	34	25	27	28	31	37	29	31	28	26	31	28	29	26	27	35	38	35	23	28	29	29	31	24	26	31	33	30	27	17	24	27	24	28	13	28	23	32	22	23	26	
4	33	36	37	29	24	20	25	23	29	27	24	33	29	29	27	32	24	35	30	30	34	26	26	31	20	29	27	21	23	23	22	25	23	18	28	29	16	16	26	21	26	29	30	26	23	
5	37	37	32	34	29	33	30	21	31	22	28	21	21	21	31	20	25	21	27	25	25	29	23	32	19	25	19	32	32	34	22	29	19	25	18	27	28	28	26	26	17	22	33	23	17	
6	26	41	34	30	28	25	27	19	33	28	24	27	20	21	28	28	31	24	29	22	26	24	22	30	26	32	25	29	31	21	25	25	21	23	28	22	25	18	32	26	28	34	30	29	29	
7	24	23	29	35	31	26	21	23	22	25	27	28	27	24	34	31	33	28	24	32	29	26	25	24	21	15	19	24	21	23	24	21	27	19	22	22	17	23	22	32	23	29	26	33	26	
8	22	26	25	32	22	15	27	22	22	34	27	25	21	28	22	20	27	28	23	27	23	28	22	32	16	23	24	24	23	24	28	27	25	19	23	29	21	18	27	22	23	33	21	30	36	
9	23	27	30	24	34	35	28	28	29	30	26	19	32	29	31	26	31	28	30	24	30	23	29	28	20	26	28	26	24	32	24	24	24	17	19	36	23	35	31	30	20	25	23	30	33	
10	18	31	25	15	27	30	21	26	20	27	28	24	19	23	24	23	24	25	26	31	38	27	32	26	20	31	31	25	30	34	23	31	32	19	17	23	24	21	33	27	23	31	29	30	32	
11	20	31	23	30	20	26	19	25	35	29	24	27	30	21	31	26	23	29	29	29	38	35	25	33	22	22	16	28	26	30	33	32	33	20	24	36	25	21	28	34	27	27	27	28	27	
12	24	28	34	18	19	17	30	19	31	25	28	23	33	18	28	30	19	21	30	19	29	23	25	30	23	19	22	27	24	28	31	15	18	8	31	27	33	31	18	30	23	31	20	25	31	
13	30	34	29	20	22	22	21	24	30	24	27	28	25	19	33	25	25	29	15	27	24	24	17	25	20	25	27	27	17	19	26	20	22	29	27	40	26	24	27	20	22	23	42	26	26	
14	24	27	26	23	24	18	26	21	23	19	28	18	25	18	28	27	38	21	32	22	32	19	22	30	21	26	22	29	28	26	26	19	33	10	24	31	23	17	23	29	26	20	24	30	26	
